0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,年
単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,単位：m,2023
,1日,2日,3日,4日,5日,6日,7日,8日,9日,10日,11日,12日,13日,14日,15日,16日,17日,18日,19日,20日,21日,22日,23日,24日,25日,26日,27日,28日,29日,30日,31日,2023
1月,0.68,0.68,0.68,0.68,0.67,0.67,0.68,0.68,0.69,0.69,0.69,0.68,0.68,0.91,0.77,0.75,0.68,0.69,0.7,0.68,0.68,0.68,0.73,0.7,0.67,0.66,0.67,0.68,0.67,0.69,0.68,2023
2月,0.68,0.69,0.7,0.7,0.69,0.69,0.76,0.76,0.74,0.77,0.73,0.72,0.88,0.82,0.8,0.76,0.73,0.75,0.92,0.93,0.85,0.81,0.81,0.79,0.77,0.74,0.72,0.71,,,,2023
3月,0.73,0.75,0.7,0.69,0.67,0.67,0.68,0.69,0.69,0.67,0.69,0.71,0.74,0.7,0.69,0.7,0.71,0.77,0.68,0.68,0.83,0.96,0.85,0.81,0.84,0.98,0.92,0.84,0.8,0.77,0.75,2023
4月,0.73,0.7,0.69,0.72,0.7,0.7,0.91,0.86,0.8,0.77,0.76,0.8,0.77,0.78,1.12,1.11,0.99,0.93,0.9,0.88,0.87,0.83,0.82,0.83,0.84,1.04,0.87,0.85,1,1.25,,2023
5月,1.05,0.97,0.93,0.91,0.91,1.09,3.01,2.24,1.47,1.18,1.09,1.01,0.98,0.99,0.92,0.88,0.87,0.86,0.88,0.86,0.82,0.81,0.79,0.78,0.77,0.77,0.76,0.75,0.78,1.01,2.13,2023
6月,1.36,1.31,1.19,1.06,0.99,1.13,1.13,1.35,1.52,1.27,1.05,0.96,0.92,0.88,0.9,0.94,0.89,0.87,0.85,0.83,0.88,0.78,0.71,0.65,0.67,0.81,0.74,0.96,1.23,3.84,,2023
7月,4.61,2.56,4.18,2.38,1.92,1.68,1.94,1.98,3.33,4.69,2.49,1.94,1.67,1.5,1.36,1.28,1.2,1.18,1.21,1.19,1.09,1.06,0.98,1.02,1.1,1.06,0.95,0.89,0.84,0.85,0.84,2023
8月,0.81,0.78,0.76,0.75,0.73,0.72,0.77,0.81,1.27,1.42,0.93,0.87,0.8,0.76,0.73,0.73,0.91,0.92,0.81,0.73,0.72,0.69,0.73,0.72,0.84,0.76,0.78,0.76,0.79,0.71,0.76,2023
9月,0.76,0.72,0.68,0.65,0.63,0.65,0.63,0.62,0.6,0.62,0.66,0.68,0.62,0.66,0.63,0.6,0.57,0.56,0.57,0.57,0.6,0.6,0.61,0.58,0.57,0.59,0.58,0.56,0.57,0.56,,2023
10月,0.57,0.56,0.58,0.61,0.63,0.61,0.62,0.67,0.68,0.64,0.61,0.64,0.63,0.63,0.63,0.63,0.62,0.63,0.64,0.67,0.65,0.64,0.64,0.66,0.64,0.62,0.63,0.64,0.66,0.63,0.64,2023
11月,0.64,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.65,0.65,0.65,0.68,0.68,0.66,0.69,0.69,0.69,0.69,0.68,0.66,0.66,0.68,0.69,0.69,0.68,0.68,0.68,0.7,0.69,0.68,,2023
12月,0.68,0.67,0.68,0.69,0.7,0.69,0.69,0.69,0.69,0.69,0.7,0.71,0.69,0.69,0.69,0.7,0.68,0.69,0.7,0.7,0.7,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.68,0.7,0.69,2023
