date,flow
2008/1/1,96.77
2008/1/13,133.15
2008/1/14,105.91
2008/1/15,88.44
2008/1/16,81.11
2008/1/2,82.69
2008/1/20,62.21
2008/1/3,73.02
2008/1/4,71.47
2008/1/5,68.92
2008/1/6,66.47
2008/1/7,67.73
2008/10/10,59.35
2008/10/22,43.75
2008/10/23,47.25
2008/10/24,731.05
2008/10/25,410.84
2008/10/26,184.3
2008/10/27,138.91
2008/10/6,77.98
2008/10/7,85.86
2008/10/8,68.6
2008/10/9,63.04
2008/11/19,45.7
2008/11/20,43.71
2008/11/21,44.72
2008/11/22,52.8
2008/11/23,51.69
2008/11/29,142.46
2008/11/4,57.5
2008/11/5,55.2
2008/11/6,52.19
2008/11/7,56.7
2008/11/8,53.6
2008/11/9,50.44
2008/12/2,71.94
2008/12/20,44.92
2008/12/21,42.55
2008/12/22,61.09
2008/12/23,63.69
2008/12/24,55.78
2008/12/25,53.03
2008/12/3,66.74
2008/12/4,58.9
2008/12/5,64.91
2008/12/6,85.26
2008/12/7,68.44
2008/12/8,61.66
2008/2/14,47.89
2008/2/15,44.82
2008/2/16,45.49
2008/2/17,44.77
2008/2/18,45.71
2008/2/27,59.27
2008/2/28,49.28
2008/2/29,46.78
2008/3/1,45.18
2008/3/14,138.97
2008/3/15,328.54
2008/3/16,165.37
2008/3/17,124.96
2008/3/18,107.3
2008/3/19,108.88
2008/3/2,48.19
2008/3/20,138.88
2008/3/25,194.04
2008/3/28,89.23
2008/3/29,80.3
2008/3/3,47.3
2008/3/30,75.59
2008/3/31,79.74
2008/3/4,46.99
2008/3/5,48.53
2008/4/1,71.62
2008/4/11,186.36
2008/4/12,129.68
2008/4/13,98.6
2008/4/14,101.57
2008/4/15,86.06
2008/4/16,79.47
2008/4/17,96.98
2008/4/18,185.61
2008/4/19,173.11
2008/4/2,67.97
2008/4/25,342.59
2008/4/26,179.76
2008/4/27,191.53
2008/4/28,141.17
2008/4/29,113.26
2008/4/3,65.18
2008/4/30,96.18
2008/5/1,86.83
2008/5/10,62.3
2008/5/11,73.29
2008/5/12,63.36
2008/5/13,58.72
2008/5/14,98.72
2008/5/15,91.32
2008/5/21,152.26
2008/5/26,207.03
2008/5/27,132.16
2008/5/28,105.2
2008/5/29,291.16
2008/5/30,203.69
2008/5/31,160.44
2008/6/1,147.08
2008/6/11,78.68
2008/6/12,76.78
2008/6/13,67.32
2008/6/14,60.17
2008/6/15,60.41
2008/6/16,61.81
2008/6/17,61.64
2008/6/18,61.32
2008/6/2,127.85
2008/6/21,139.49
2008/6/22,456.57
2008/6/23,373.02
2008/6/24,250.71
2008/6/25,146.64
2008/6/26,108.88
2008/6/27,89.54
2008/6/28,78.41
2008/6/29,693.72
2008/6/3,163.29
2008/6/30,855.28
2008/6/4,142.93
2008/6/5,138.35
2008/6/6,158.08
2008/7/1,314.6
2008/7/10,194.85
2008/7/11,147.38
2008/7/12,119.75
