date,temperature,precipitation,flow,level
2023/1/1,5.3,0,32.02,0.68
2023/1/2,5.2,0,32.02,0.68
2023/1/3,3.5,0,32.02,0.68
2023/1/4,3.5,0,31.79,0.68
2023/1/5,4.4,0,31.4,0.67
2023/1/6,5.2,0,31.5,0.67
2023/1/7,7,3.5,31.97,0.68
2023/1/8,5.4,0,32.2,0.68
2023/1/9,6.9,0,32.94,0.69
2023/1/10,9.5,0,32.68,0.69
2023/1/11,8,0,32.62,0.69
2023/1/12,10.4,0.5,31.74,0.68
2023/1/13,13.6,29.5,32.06,0.68
2023/1/14,15.7,22.5,62.59,0.91
2023/1/15,12.7,0.5,40.65,0.77
2023/1/16,8.7,1,38.38,0.75
2023/1/17,6.8,0,32.55,0.68
2023/1/18,5.4,0.5,32.81,0.69
2023/1/19,5.7,0,32.97,0.7
2023/1/20,6.4,0,32.32,0.68
2023/1/21,4.5,0,31.77,0.68
2023/1/22,4.2,10.5,32.31,0.68
2023/1/23,7.5,3.5,37.23,0.73
2023/1/24,1.1,2,33.28,0.7
2023/1/25,-1.1,0,31.45,0.67
2023/1/26,1.6,0,30.91,0.66
2023/1/27,3.2,0,31.66,0.67
2023/1/28,1.2,0,31.94,0.68
2023/1/29,2.9,0,31.43,0.67
2023/1/30,4.6,1,32.36,0.69
2023/1/31,3.8,0,32.02,0.68
2023/2/1,8.5,0,32.26,0.68
2023/2/2,8.5,0,32.92,0.69
2023/2/3,6.7,0,33.29,0.7
2023/2/4,5.7,0,33.1,0.7
2023/2/5,5.8,0,32.73,0.69
2023/2/6,6.2,4,32.65,0.69
2023/2/7,8.9,7,40.43,0.76
2023/2/8,8.9,0,39.76,0.76
2023/2/9,8.4,0,36.91,0.74
2023/2/10,9.1,8.5,40.58,0.77
2023/2/11,9.3,0,35.66,0.73
2023/2/12,10.9,12,34.79,0.72
2023/2/13,10.6,3,56.81,0.88
2023/2/14,8.1,0,47.26,0.82
2023/2/15,5.7,0,44.59,0.8
2023/2/16,6.1,0,39.79,0.76
2023/2/17,7.6,0,36.46,0.73
2023/2/18,12.3,6,38.05,0.75
2023/2/19,12.4,19.5,64.24,0.92
2023/2/20,7.9,0,64.39,0.93
2023/2/21,5.9,0,51.71,0.85
2023/2/22,6.9,0,46.79,0.81
2023/2/23,10,0,46.14,0.81
2023/2/24,9.1,4.5,43.17,0.79
2023/2/25,6.8,0.5,40.66,0.77
2023/2/26,7.1,0,36.86,0.74
2023/2/27,7.3,0,35.4,0.72
2023/2/28,9.7,0,33.96,0.71
2023/3/1,12.2,15,36.32,0.73
2023/3/2,7.6,0,38.54,0.75
2023/3/3,7.1,0,33.16,0.7
2023/3/4,10.5,0,32.36,0.69
2023/3/5,10.5,0,31.5,0.67
2023/3/6,10.2,0,31.53,0.67
2023/3/7,10.9,0,32.02,0.68
2023/3/8,12.2,0,32.65,0.69
2023/3/9,13.3,7,32.65,0.69
2023/3/10,16.3,0,31.68,0.67
2023/3/11,16.5,0,32.65,0.69
2023/3/12,15.3,8.5,34.23,0.71
2023/3/13,8,0,37.17,0.74
2023/3/14,9.4,0,33.05,0.7
2023/3/15,14,0,32.6,0.69
2023/3/16,15.6,0,33.29,0.7
2023/3/17,13.8,10,33.95,0.71
2023/3/18,12.3,3.5,41.78,0.77
2023/3/19,12.2,0,31.89,0.68
