date,flow
2015-01-01,105.92
2015-01-02,98.6
2015-01-03,
2015-01-04,161.08
2015-01-05,
2015-01-06,88.34
2015-01-07,77.38
2015-01-08,88.5
2015-01-09,103.08
2015-01-10,
2015-01-11,
2015-01-12,144.36
2015-01-13,
2015-01-14,165.38
2015-01-15,123.75
2015-01-16,105.16
2015-02-01,94.4
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,66.27
2015-02-07,63.91
2015-02-08,61.66
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-14,105.61
2015-02-15,
2015-02-16,
2015-03-01,133.04
2015-03-02,152.94
2015-03-03,168.51
2015-03-04,
2015-03-05,
2015-03-06,170.04
2015-03-07,115.71
2015-03-08,98.46
2015-03-09,104.05
2015-03-10,672.52
2015-03-11,350.03
2015-03-12,214.16
2015-03-13,130.95
2015-03-14,102.12
2015-03-15,99.43
2015-03-16,111.61
2015-04-01,138.08
2015-04-02,162.8
2015-04-03,391.03
2015-04-04,283.47
2015-04-05,149.87
2015-04-06,121.05
2015-04-07,117.1
2015-04-08,401.81
2015-04-09,210.81
2015-04-10,157.44
2015-04-11,832.75
2015-04-12,227.69
2015-04-13,144.44
2015-04-14,106.66
2015-04-15,93.2
2015-04-16,
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,
2015-05-05,
2015-05-06,58.75
2015-05-07,213.29
2015-05-08,
2015-05-09,
2015-05-10,
2015-05-11,
2015-05-12,76.93
2015-05-13,64.75
2015-05-14,57.33
2015-05-15,58.11
2015-05-16,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-06,
2015-06-07,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-13,73.46
2015-06-14,554.9
2015-06-15,
2015-06-16,
2015-07-01,
2015-07-02,229.14
2015-07-03,191.15
2015-07-04,
2015-07-05,141.39
2015-07-06,102.01
2015-07-07,
2015-07-08,
2015-07-09,259.62
2015-07-10,715.44
2015-07-11,230.1
2015-07-12,665.78
2015-07-13,282.96
2015-07-14,150.36
2015-07-15,
2015-07-16,
2015-08-01,
2015-08-02,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-08,
2015-08-09,
2015-08-10,241.82
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,213.59
2015-08-15,701.97
2015-08-16,745.79
2015-09-01,381.24
2015-09-02,352.25
2015-09-03,179.36
2015-09-04,633.52
2015-09-05,511.62
2015-09-06,344.66
2015-09-07,189.89
2015-09-08,
2015-09-09,
2015-09-10,238.18
2015-09-11,126.79
2015-09-12,99.29
2015-09-13,
2015-09-14,
2015-09-15,
2015-09-16,
2015-10-01,
2015-10-02,305.76
2015-10-03,137.63
2015-10-04,100.88
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-10,
2015-10-11,59.28
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,
2015-11-01,
2015-11-02,
2015-11-03,50.69
2015-11-04,56.69
2015-11-05,
2015-11-06,
2015-11-07,
2015-11-08,173.26
2015-11-09,
2015-11-10,200.65
2015-11-11,108.31
2015-11-12,
2015-11-13,
2015-11-14,
2015-11-15,
2015-11-16,
2015-12-01,
2015-12-02,83.42
2015-12-03,88.32
2015-12-04,84.33
2015-12-05,
2015-12-06,
2015-12-07,237.7
2015-12-08,154.19
2015-12-09,
2015-12-10,
2015-12-11,81.72
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15,
2015-12-16,73.85
