day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
0,5208918868.602739,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5208916361.488588,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5208913854.374437,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5208911347.260286,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5208908840.146135,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5208906333.031983,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5208903825.917832,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5208901318.803682,44520000.0,5038285.0,4412380.0,5210694.3,0.0,0.0,0.0
8,5208898811.689531,44586185.7,0.0,2178948.6035344945,6019237.14271423,0.0,0.0,0.0
9,5208896304.575379,40160251.35905302,0.0,1067684.8157319024,668975.6856299726,0.0,0.0,0.0
10,5208893797.461228,40176266.631289005,0.0,523165.5597086322,299079.86145868665,0.0,0.0,0.0
11,5208891290.347078,40184114.114684634,0.0,256351.1242572298,137933.66476475645,0.0,0.0,0.0
12,5208888783.232926,40187959.381548494,719755.0,755952.0508860426,809387.7555297306,0.0,0.0,0.0
13,5208886276.118775,40199298.662311785,42465545.0,37568036.02544302,44175227.27559487,0.0,0.0,0.0
14,5208883769.004624,40762819.20269343,40808638.5,47149318.01272151,51085915.427146435,0.0,0.0,0.0
15,5208881261.890473,41470058.97288425,8642120.748218667,24204751.818264034,21500575.68826034,0.0,0.0,0.0
16,5208878754.776322,41833130.25015821,1439510.0,13360074.85840578,9829613.835836554,0.0,0.0,0.0
17,5208876247.66217,42033531.3730343,0.0,6674255.796597055,4122756.320202497,0.0,0.0,0.0
18,5208873740.54802,42133645.20998325,719755.0,3967135.7798533165,2628453.530884736,0.0,0.0,0.0
19,5208871233.433869,42193152.24668105,0.0,1983567.8899266582,1113722.7299111926,0.0,0.0,0.0
20,5208868726.319718,42222905.76502995,0.0,987592.9171299406,524490.2557970502,0.0,0.0,0.0
21,5208866219.205566,42237719.6587869,0.0,483920.5293936709,248353.76405263908,0.0,0.0,0.0
22,5208863712.091415,42244978.46672781,15114855.0,13476357.694418347,15752199.173981909,0.0,0.0,0.0
23,5208861204.977265,42447123.83214408,5235314.798245892,11131481.614012312,10080687.68957562,0.0,0.0,0.0
24,5208858697.863113,42614096.05635427,2879020.0,8082102.492958933,6651845.451206683,0.0,0.0,0.0
25,5208856190.748962,42735327.59374865,0.0,4030981.532826496,2536131.7660573306,0.0,0.0,0.0
26,5208853683.634811,42795792.31674105,0.0,2014883.0447148266,1151549.9934776349,0.0,0.0,0.0
27,5208851176.520661,42826015.56241177,0.0,1005972.3138580112,540196.0872584186,0.0,0.0,0.0
28,5208848669.406509,42841105.14711964,0.0,498212.5900775475,257322.96069879548,0.0,0.0,0.0
29,5208846162.292358,42848578.335970804,0.0,247890.03696010733,124933.62427900755,0.0,0.0,0.0
30,5208843655.178207,42852296.6865252,1439510.0,1382146.1181104525,1549092.954189576,0.0,0.0,0.0
31,5208841148.064056,42873028.87829686,0.0,677251.5978741217,472841.651040751,0.0,0.0,0.0
32,5208838640.949905,42883187.652264975,0.0,331853.28295831964,204261.2300563256,0.0,0.0,0.0
33,5208836133.835754,42888165.45150935,0.0,162608.10864957664,91858.64904150684,0.0,0.0,0.0
34,5208833626.721603,42890604.573139094,0.0,79677.97323829256,42541.93192451054,0.0,0.0,0.0
35,5208831119.607452,42891799.742737666,0.0,39042.20688676335,20104.90481126182,0.0,0.0,0.0
36,5208828612.493301,42892385.37584097,0.0,19130.681374514043,9629.210807993788,0.0,0.0,0.0
37,5208826105.379149,42892672.33606159,5758040.0,5052285.340687257,5959823.639335725,0.0,0.0,0.0
38,5208823598.264998,42968456.6161719,10076570.0,11350902.67034363,12222403.369847381,0.0,0.0,0.0
39,5208821091.150847,43138720.15622705,0.0,5643648.499061974,3917577.1944642738,0.0,0.0,0.0
40,5208818584.036696,43223374.883712985,0.0,2810527.8345560525,1717228.3014854505,0.0,0.0,0.0
41,5208816076.922545,43265532.801231325,12235835.0,12121043.917278027,13442332.990397573,0.0,0.0,0.0
42,5208813569.808394,43447348.459990494,0.0,6054184.955687705,4191734.210663856,0.0,0.0,0.0
43,5208811062.694243,43538161.23432581,17274120.0,18130731.986063577,19698121.365387432,0.0,0.0,0.0
44,5208808555.580092,43810122.21411677,5180766.0,12847405.993031789,11134532.812264396,0.0,0.0,0.0
45,5208806048.46594,44002833.30401225,0.0,6409715.421216446,4178909.45098317,0.0,0.0,0.0
46,5208803541.35179,44098979.0353305,0.0,3192249.899554154,1869300.4427917227,0.0,0.0,0.0
47,5208801034.237639,44146862.78382381,0.0,1564787.284499853,855239.605434816,0.0,0.0,0.0
48,5208798527.123488,44170334.59309131,0.0,780512.3482357098,407443.8206300355,0.0,0.0,0.0
49,5208796020.009336,44182042.278314844,8637060.0,7954336.174117855,9130561.643967874,0.0,0.0,0.0
50,5208793512.895186,44301357.320926614,28070445.0,28560428.087058928,31826244.20207979,0.0,0.0,0.0
51,5208791005.781035,44729763.7422325,4076994.105367556,14253788.339622207,16491497.245580662,0.0,0.0,0.0
52,5208788498.666883,40470594.19310358,0.0,7120008.7408204,4780984.592021709,0.0,0.0,0.0
53,5208785991.552732,40577394.32421589,0.0,3550448.9635429042,2120301.853135453,0.0,0.0,0.0
54,5208783484.438581,40630651.05866903,0.0,1772109.225788345,978973.2062524906,0.0,0.0,0.0
55,5208780977.32443,40657232.697055854,6477795.0,6554150.833284944,7162643.223666741,0.0,0.0,0.0
