day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
0,5208918868.602739,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5208916361.488588,44520000.0,4318530.0,3782040.0,4466309.4,0.0,0.0,0.0
2,5208913854.374437,44576730.6,0.0,1872961.2425284064,5797912.262626277,0.0,0.0,0.0
3,5208911347.260286,40147151.95863792,1439510.0,2193454.7334467266,2070721.4457216626,0.0,0.0,0.0
4,5208908840.146135,40180053.779639624,0.0,1078428.377674611,705855.5331721863,0.0,0.0,0.0
5,5208906333.031983,40196230.20530474,0.0,528429.9050605594,311133.8349543713,0.0,0.0,0.0
6,5208903825.917832,40204156.65388065,0.0,258930.65347967413,142034.96623764196,0.0,0.0,0.0
7,5208901318.803682,40208040.613682844,0.0,129259.47811631463,67626.9266764126,0.0,0.0,0.0
8,5208898811.689531,40209979.50585459,0.0,63337.144276994164,32199.33891134217,0.0,0.0,0.0
9,5208896304.575379,40210929.56301875,0.0,31035.20069572714,15496.319518527662,0.0,0.0,0.0
10,5208893797.461228,40211395.09102918,0.0,15207.248340906299,7508.789599669554,0.0,0.0,0.0
11,5208891290.347078,40211623.1997543,12235835.0,10723231.551687045,12658197.284814514,0.0,0.0,0.0
12,5208888783.232926,40372471.6730296,10076570.0,14186375.775843523,14245367.745957997,0.0,0.0,0.0
13,5208886276.118775,40585267.30966725,0.0,7077305.885749114,4807229.002990487,0.0,0.0,0.0
14,5208883769.004624,40691426.89795349,0.0,3523281.266774057,2121212.1089060674,0.0,0.0,0.0
15,5208881261.890473,40744276.1169551,0.0,1735952.1204487435,965662.9867738356,0.0,0.0,0.0
16,5208878754.776322,40770315.39876183,0.0,861566.7709278333,454977.7464068576,0.0,0.0,0.0
17,5208876247.66217,40783238.900325745,0.0,422167.7177546383,215886.7018630571,0.0,0.0,0.0
18,5208873740.54802,40789571.41609207,0.0,206862.18169977277,103668.76575000706,0.0,0.0,0.0
19,5208871233.433869,40792674.348817565,0.0,101362.46903288866,50162.97976863618,0.0,0.0,0.0
20,5208868726.319718,40794194.78585306,0.0,50222.48892086996,24658.561812927484,0.0,0.0,0.0
21,5208866219.205566,40794948.12318687,0.0,25111.24446043498,12269.14996920263,0.0,0.0,0.0
